STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2015-08,,60.79188,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2015-09,,61.30995,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2015-10,,61.74663,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2015-11,,62.02875,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2015-12,,62.15095,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-01,,61.61436,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-02,,61.93848,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-03,,61.65363,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-04,,62.15462,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-05,,61.9199,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-06,,61.468,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-07,,61.51481,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-08,,61.10977,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-09,,61.90534,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-10,,62.16073,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-11,,62.16119,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2016-12,,61.8727,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-01,,61.72786,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-02,,62.02181,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-03,,62.64886,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-04,,62.66561,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-05,,62.7369,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-06,,62.5021,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-07,,62.23927,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-08,,62.38084,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-09,,62.77105,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-10,,63.0061,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-11,,62.97942,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2017-12,,62.53313,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-01,,62.03814,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-02,,62.82787,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-03,,62.46905,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-04,,63.22238,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-05,,63.64112,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-06,,62.88158,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-07,,62.78452,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-08,,63.04379,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-09,,63.29747,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-10,,63.5283,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-11,,63.5516,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2018-12,,63.65163,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2019-01,,63.00434,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2019-02,,63.70513,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2019-03,,63.44591,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2019-04,,63.88488,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_EMP_WAP_Q(1.0),Employment rate,I,USA,United States,EMP_WAP,Employment rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,N,Neither seasonally adjusted nor calendar adjusted,_T,Total,Y55T64,From 55 to 64 years,_Z,Not applicable,M,Monthly,2019-05,,63.42047,,,,A,Normal value,0,Units,1,One
